N,A,pre_label
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-4.258794315,,0
-3.835031167,,0
-4.682557463,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-4.682557463,,0
-4.258794315,,0
-4.682557463,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-4.682557463,,0
-3.835031167,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-4.258794315,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-4.258794315,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-3.411268019,,0
-4.682557463,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-4.682557463,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-3.835031167,,0
-3.835031167,,0
-4.682557463,,0
-4.258794315,,0
-4.682557463,,0
-4.258794315,,0
-4.682557463,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-4.682557463,,0
-3.411268019,,0
-4.682557463,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-4.682557463,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-4.682557463,,0
-3.411268019,,0
-4.682557463,,0
-3.411268019,,0
-4.682557463,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-3.835031167,,0
-3.411268019,,0
-4.682557463,,0
-4.682557463,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-4.682557463,,0
-4.258794315,,0
-4.682557463,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-4.258794315,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-4.682557463,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-4.682557463,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-4.682557463,,0
-4.682557463,,0
-4.258794315,,0
-4.258794315,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-4.682557463,,0
-3.835031167,,0
-4.682557463,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-4.682557463,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-4.258794315,,0
-3.411268019,,0
-4.682557463,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.682557463,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-4.682557463,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.682557463,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.682557463,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.682557463,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-4.682557463,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-4.682557463,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.682557463,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-4.682557463,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-4.258794315,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-4.258794315,,0
-3.411268019,,0
-4.258794315,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.835031167,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.835031167,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
-3.411268019,,0
